,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vwf_2,xi_J_2,v_calculable_2
535,163.62798719054268,0.1834068793928061,-132.35493217406548,108.88151230538575,-1019.328888590145,0.13212699855418678,3.892750045833081,0.8838783308862026,1339.6131680395677,-64864.95696044469,0.4373932449760953,1.1205005666059709,0.08195418405210722,True,230.16893727689944,-131.28191196122174,92.87371493694503,-10.626618474768733,85.81203519345884,55.51697053364926,0.01794153092641845,1.0,0.01794153092641845,55.51697053364926,hs-SNR,,,,,,,,,,,,,,,0.6234937333309711,0.6760492426845616,True,,,,,,,
229,706.2617608267008,-0.1483493267262303,-184.79699686975758,929.506026579699,-401.60554474925937,0.2161436130792268,6.003295856038692,3.4774845491053634,-99290.57116332484,83747.95800825184,0.587468477997747,2.080404722193901,-0.28745054083467403,True,221.4251226133725,-181.1232280007919,5.066169737007134e-07,-149.78394043175214,95.30319932324622,120.46489393946054,0.017944398844517227,1.0,0.017944398844517227,120.46489393946054,hs-SNR,,,,,,,,,,,,,,,0.6070226819856103,0.6760562674224357,True,,,,True,,,
230,663.8095349498695,-0.13757152678413495,-203.9784235447974,1066.9268972510465,-660.2599511001813,0.19500574032547235,4.912665813999617,4.0809858799592265,-120910.71050670727,34882.25663415962,0.6020454304064475,1.9083307668264424,-0.6525201439391585,True,221.22364809099514,-200.5049384298486,9.567526123156129e-07,-168.59262415579144,95.55188122253406,120.83304761933495,0.018030984353298,1.0,0.018030984353298,120.83304761933495,hs-SNR,,,,,,,,,,,,,,,0.6078591147114809,0.6762680234403581,True,,,,True,,,
539,163.63480875681373,0.2074328854866421,-116.37255660015242,126.86633538605416,-977.5663856331572,0.13296778417928054,3.9514680099732185,1.1684554232622095,1207.953788762813,-57876.367438357214,0.4496710166376425,1.1826095730370059,0.04658924886626638,True,222.04353205743286,-115.82430424483248,-5.218995312957333e-06,-3.7961104371296353,95.73785186925207,47.579974003634824,0.01807220414400561,1.0,0.01807220414400561,47.579974003634824,hs-SNR,,,,,,,,,,,,,,,0.6462150456699319,0.6763686092541262,True,,,,,,,
231,864.5539564409603,-0.10728544369360483,-147.86107537404723,985.3103341355844,-21.014419026332348,0.19828979204515326,12.354488988024533,4.52354331883142,-84220.93867116957,202133.77439519973,0.6221273495526294,3.8425461334780366,-0.21577921916969856,True,221.56304167948127,-145.23805537159097,8.38349549825143e-06,-119.08833320795706,95.8455682078828,125.301069507568,0.0180988024666308,1.0,0.0180988024666308,125.301069507568,hs-SNR,,,,,,,,,,,,,,,0.6231734431343217,0.6764334394490203,True,,,,True,,,
232,416.7166954457762,0.20213252176144608,305.01442645225603,-890.416202203787,70.98966617590507,0.1816050304924326,0.5399262198211597,2.5054456513826064,-144036.33474276777,16036.974420845205,0.5296975659659018,0.5525558301857243,-2.7249300115135084,True,220.02527392959493,299.7030363358448,5.524738988277794e-06,248.30181589331485,96.51196710958892,120.12640911478684,0.018165502628112937,1.0,0.018165502628112937,120.12640911478684,hs-SNR,,,,,,,,,,,,,,,0.60183616827544,0.6765957523015469,True,,,,True,,,
541,156.22518870677519,0.18837346704158625,-111.33142310798094,135.09360192163678,-835.951340363947,0.1316076785156132,3.2429597638023533,1.2722172368443083,821.5292199305078,-51090.70155587679,0.4533143727050629,1.0227761470913064,0.006834568794230071,True,221.00516002803832,-111.07697022348431,7.596844567182056e-07,-3.721313261476736,96.09368893926737,52.81197635317261,0.01818407403369346,1.0,0.01818407403369346,52.81197635317261,hs-SNR,,,,,,,,,,,,,,,0.6564289637649883,0.6766408791219028,True,,,,,,,
233,781.8263869919948,-0.2102910538914745,-211.749111142904,689.1175745940793,-593.2355759134086,0.3431572674732603,6.827789274064015,0.9220789164576096,-104447.80579956988,109838.8165489968,0.5445000705011074,1.8606271379256047,0.3120260515683804,True,222.6565444052946,-206.8957306415508,-2.150099118391814e-05,-172.44222820286603,93.96800784828484,96.16123959152745,0.018204156908554987,1.0,0.018204156908554987,96.16123959152745,hs-SNR,,,,,,,,,,,,,,,0.6038406761374591,0.6766896463427476,True,,,,True,,,
234,615.5737047999893,-0.13429958259863595,-196.0037325398824,979.0709742338307,-653.5136673763559,0.18279907757500205,4.5437607404229325,3.9962391314822328,-104058.61682631649,16193.97837507173,0.5924109845113376,1.801980040352772,-0.695874344526411,True,220.90617025420602,-192.54577685642946,3.059957152448561e-05,-157.84060837663426,96.00266222300957,121.76255535337494,0.01822793180709537,1.0,0.01822793180709537,121.76255535337494,hs-SNR,,,,,,,,,,,,,,,0.610912364049647,0.6767473355513378,True,,,,True,,,
543,144.0677480767324,-0.02033614832317987,119.15054924536207,-117.28552631869228,577.6978993148056,0.12909151904312086,2.1044661385868344,0.98788744819499,862.6218878304489,-38848.93396700276,0.4402092184417618,0.6907644426792069,0.013156936822122493,True,221.372901472282,117.02364486448893,3.3808297362882764e-06,3.35983734990642,95.27446409897324,46.31506233525471,0.018280432301869144,1.0,0.018280432301869144,46.31506233525471,hs-SNR,,,,,,,,,,,,,,,0.6477662066860861,0.6768745606718143,True,,,,,,,
